2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
FRESNO ST,52.7,39.0,46.7,36.8,0.384,70.2,69.5,30.5,70.3,17.1,24.6,77.5
FURMAN,56.8,35.3,51.4,32.0,0.282,70.6,52.9,47.1,71.4,16.3,25.7,72.6
GA SOUTHERN,48.4,33.6,50.4,32.4,0.382,66.3,60.9,39.1,71.8,15.7,28.4,70.1
GA TECH,46.6,31.8,45.4,37.9,0.348,71.3,72.3,27.7,68.0,18.9,29.4,70.9
GARD-WEBB,48.1,34.0,50.8,33.2,0.28,73.4,64.4,35.6,70.7,19.7,23.3,74.2
GEO MASON,49.1,32.6,51.5,35.3,0.318,74.2,63.8,36.2,72.6,17.8,24.6,75.3
GEO WSHGTN,50.2,32.1,50.3,35.7,0.289,70.9,69.9,30.1,67.6,18.8,30.3,72.2
GEORGETOWN,50.1,36.6,49.9,34.8,0.383,77.5,64.9,35.1,75.2,20.3,29.3,76.4
GEORGIA,47.4,31.8,43.1,33.2,0.401,69.9,65.4,34.6,68.3,18.6,33.1,74.6
GEORGIA ST,50.9,39.1,43.9,33.9,0.316,68.3,58.9,41.1,70.1,16.4,23.6,69.2
GONZAGA,58.8,37.4,43.3,35.5,0.309,72.2,60.4,39.6,72.1,15.7,31.5,79.8
GRAMBLING ST,44.5,32.6,50.0,31.7,0.407,70.7,74.8,25.2,75.9,20.5,29.6,71.0
GRD CANYON,48.8,31.9,45.4,26.7,0.396,70.3,60.9,39.1,72.5,18.5,30.5,74.2
HAMPTON,49.7,32.4,48.2,33.6,0.346,76.7,71.0,29.0,76.5,16.6,26.3,72.5
HARTFORD,53.6,34.4,50.8,34.4,0.312,68.5,57.4,42.6,69.3,17.7,22.7,73.7
HARVARD,48.6,35.5,47.8,33.8,0.275,78.9,58.6,41.4,68.9,19.8,25.0,79.5
HAWAII,50.9,32.5,50.1,33.1,0.408,68.9,62.2,37.8,70.5,19.2,25.5,77.5
HIGH POINT,47.6,35.9,48.8,34.8,0.341,70.3,71.9,28.1,68.2,18.6,26.7,72.4
HOFSTRA,51.5,37.3,54.3,36.0,0.365,68.0,62.9,37.1,71.8,15.2,29.4,75.0
HOLY CROSS,55.1,32.6,49.4,35.4,0.297,69.0,60.3,39.7,65.6,18.7,17.2,70.3
HOUSTON,51.4,38.7,43.8,32.8,0.322,71.7,62.3,37.7,70.0,17.4,34.1,76.6
HOUSTON BAP,44.4,32.8,54.2,39.7,0.355,62.1,66.0,34.0,77.3,18.4,32.2,69.6
HOWARD,46.7,34.9,53.7,35.3,0.345,70.3,61.5,38.5,74.8,17.6,27.2,67.1
IDAHO,50.3,41.1,48.1,35.2,0.304,73.3,60.9,39.1,69.2,19.0,29.3,77.6
IDAHO STATE,52.4,39.4,53.1,34.3,0.345,68.2,61.0,39.0,71.2,18.3,18.3,73.0
